1,"Virat Kohli


                          IND",928
2,Steve Smith,AUS
3,Marnus Labuschagne,AUS
4,Kane Williamson,NZ
5,Babar Azam,PAK
6,David Warner,AUS
7,Cheteshwar Pujara,IND
8,Joe Root,ENG
9,Ajinkya Rahane,IND
10,Ben Stokes,ENG
11,Quinton de Kock,SA
12,Mayank Agarwal,IND
13,Rohit Sharma,IND
14,Dimuth Karunaratne,SL
15,Tom Latham,NZ
16,Ross Taylor,NZ
17,Henry Nicholls,NZ
18,Asad Shafiq,PAK
,Angelo Mathews,SL
20,BJ Watling,NZ
21,Travis Head,AUS
22,Brendan Taylor,ZIM
23,Kusal Mendis,SL
24,Dean Elgar,SA
25,Aiden Markram,SA
,Mushfiqur Rahim,BAN
27,Azhar Ali,PAK
28,Tamim Iqbal,BAN
29,Rishabh Pant,IND
30,Francois du Plessis,SA
31,Usman Khawaja,AUS
32,Shan Masood,PAK
33,Rory Burns,ENG
34,Niroshan Dickwella,SL
35,Jason Holder,WI
36,Dinesh Chandimal,SL
37,Dhananjaya de Silva,SL
38,Ravindra Jadeja,IND
39,Colin de Grandhomme,NZ
40,Joe Denly,ENG
41,Hanuma Vihari,IND
42,Shane Dowrich,WI
43,Jos Buttler,ENG
44,Mominul Haque,BAN
45,Shimron Hetmyer,WI
46,Mahmudullah,BAN
47,Jonny Bairstow,ENG
,Tim Paine,AUS
,Roston Chase,WI
50,Lokesh Rahul,IND
51,Kraigg Brathwaite,WI
52,Haris Sohail,PAK
53,Oshada Fernando,SL
54,Ollie Pope,ENG
55,Joe Burns,AUS
56,Sikandar Raza,ZIM
57,Craig Ervine,ZIM
58,Matthew Wade,AUS
59,Abid Ali,PAK
60,Sean Williams,ZIM
,Temba Bavuma,SA
62,Kusal Perera,SL
63,Shai Hope,WI
64,Dom Sibley,ENG
65,Shamarh Brooks,WI
66,Jeet Raval,NZ
67,Sam Curran,ENG
68,Darren Bravo,WI
69,Tom Blundell,NZ
70,Litton Das,BAN
71,Jermaine Blackwood,WI
72,Soumya Sarkar,BAN
73,Kevin O'Brien,IRE
74,John Campbell,WI
75,Rahmat Shah,AFG
,Ravichandran Ashwin,IND
,Asghar Afghan,AFG
78,Vernon Philander,SA
79,Wriddhiman Saha,IND
80,Ben Foakes,ENG
81,Daryl Mitchell,NZ
82,Mitchell Santner,NZ
83,Keaton Jennings,ENG
84,Moeen Ali,ENG
85,Imam-ul-Haq,PAK
86,Rassie van der Dussen,SA
87,Mitchell Starc,AUS
,Ibrahim Zadran,AFG
89,Mitchell Marsh,AUS
90,Cameron Bancroft,AUS
91,Kurtis Patterson,AUS
92,Chris Woakes,ENG
93,Imrul Kayes,BAN
94,Regis Chakabva,ZIM
95,Lahiru Thirimanne,SL
96,Javed Ahmadi,AFG
97,Mohammad Rizwan,PAK
,Marcus Harris,AUS
99,Theunis de Bruyn,SA
100,Shadman Islam,BAN
